epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,32101.3,1.48112,0.76787,1.05519,0.68898,0.50307,0.54069,0.33807,1.30556,0.64961,1.01753,0.008614,0.008614,0.008614
44,33440.3,1.47529,0.7635,1.05281,0.66356,0.5088,0.53992,0.33932,1.30554,0.64475,1.01865,0.008581,0.008581,0.008581
45,34259,1.47608,0.76445,1.05386,0.64723,0.51976,0.53959,0.33821,1.30338,0.64098,1.01819,0.008548,0.008548,0.008548
46,34981.3,1.4679,0.75935,1.05255,0.68244,0.50988,0.53734,0.33613,1.30272,0.64041,1.01924,0.008515,0.008515,0.008515
47,35933.7,1.47085,0.76679,1.05493,0.81016,0.40678,0.52678,0.32696,1.30341,0.65043,1.01873,0.008482,0.008482,0.008482
48,36746.8,1.47054,0.76126,1.05281,0.80758,0.40853,0.52667,0.32641,1.30314,0.64603,1.0186,0.008449,0.008449,0.008449
49,37972.2,1.46512,0.75743,1.05193,0.63445,0.48989,0.53426,0.33396,1.30307,0.6453,1.01829,0.008416,0.008416,0.008416
50,38962,1.46292,0.7555,1.04917,0.62167,0.51838,0.53714,0.33552,1.30326,0.64411,1.01913,0.008383,0.008383,0.008383
51,39906.9,1.46353,0.75543,1.0507,0.6261,0.51185,0.53318,0.33288,1.30177,0.64126,1.01916,0.00835,0.00835,0.00835
52,40920.5,1.46033,0.7549,1.04945,0.652,0.50632,0.53681,0.33476,1.30088,0.63899,1.01887,0.008317,0.008317,0.008317
53,41976.2,1.46133,0.75629,1.04917,0.661,0.51195,0.53572,0.3348,1.30104,0.63901,1.01883,0.008284,0.008284,0.008284
54,43034.6,1.45847,0.75054,1.04849,0.6632,0.5175,0.53775,0.33636,1.29907,0.63861,1.01695,0.008251,0.008251,0.008251
55,1212.9,1.45416,0.7522,1.04634,0.67296,0.51635,0.53884,0.33732,1.29966,0.64903,1.01681,0.008218,0.008218,0.008218
56,2004.51,1.46342,0.75495,1.05007,0.68466,0.51465,0.53897,0.3367,1.301,0.66239,1.01761,0.008185,0.008185,0.008185
57,2650.91,1.45745,0.75089,1.04584,0.68877,0.51439,0.5394,0.33736,1.30085,0.65644,1.01837,0.008152,0.008152,0.008152
58,3408.35,1.45586,0.75383,1.04764,0.69387,0.51102,0.53954,0.33696,1.29905,0.65069,1.01807,0.008119,0.008119,0.008119
59,4143.35,1.4583,0.74942,1.04666,0.6919,0.51093,0.53819,0.33674,1.29672,0.65066,1.01703,0.008086,0.008086,0.008086
60,4800.35,1.4573,0.75415,1.04813,0.69274,0.51131,0.53764,0.33723,1.29602,0.65011,1.01708,0.008053,0.008053,0.008053
61,5492.93,1.45516,0.74959,1.04637,0.69531,0.50994,0.5391,0.33812,1.29524,0.65021,1.01666,0.00802,0.00802,0.00802
62,6202.82,1.45053,0.74594,1.04379,0.70629,0.50508,0.54017,0.33883,1.29446,0.64928,1.01607,0.007987,0.007987,0.007987
63,6905.54,1.44966,0.74555,1.04349,0.71436,0.50428,0.54189,0.33967,1.29367,0.64728,1.01549,0.007954,0.007954,0.007954
64,7570.79,1.44779,0.7469,1.04364,0.71686,0.50464,0.54255,0.33998,1.29319,0.64543,1.01512,0.007921,0.007921,0.007921
